N    Z    A    Elt.   Mass                        
 37   25   62 Mn     61947907.384       7.023
 36   26   62 Fe     61936791.809       3.000
 35   27   62 Co     61934058.198      19.940
 34   28   62 Ni     61928344.753       0.455
 33   29   62 Cu     61932594.803       0.683
 32   30   62 Zn     61934333.359       0.660
 31   31   62 Ga     61944189.639       0.684
 30   32   62 Ge     61954761#        150#
 29   33   62 As     61973784#        322#
 42   21   63 Sc     63014031#        751#
 41   22   63 Ti     62993709#        537#
 40   23   63 V      62976661.000     365.000
 39   24   63 Cr     62961161.000      78.000
 38   25   63 Mn     62949664.672       4.000
 37   26   63 Fe     62940272.698       4.618
 36   27   63 Co     62933599.630      19.941
 35   28   63 Ni     62929669.021       0.457
 34   29   63 Cu     62929597.119       0.457
 33   30   63 Zn     62933211.140       1.674
 32   31   63 Ga     62939294.194       1.400
 31   32   63 Ge     62949628.000      40.000
 30   33   63 As     62964036#        215#
 29   34   63 Se     62981911#        537#
 42   22   64 Ti     63998411#        644#
 41   23   64 V      63982480#        429#
 40   24   64 Cr     63963886.000     322.000
 39   25   64 Mn     63953849.369       3.800
 38   26   64 Fe     63940987.761       5.386
 37   27   64 Co     63935810.176      21.476
 36   28   64 Ni     63927966.228       0.497
 35   29   64 Cu     63929764.001       0.458
 34   30   64 Zn     63929141.776       0.690
 33   31   64 Ga     63936840.366       1.533
 32   32   64 Ge     63941689.912       4.000
 31   33   64 As     63957560#        218#
 30   34   64 Se     63971165#        537#
 43   22   65 Ti     65005593#        751#
 42   23   65 V      64986999#        537#
 41   24   65 Cr     64969608#        215#
 40   25   65 Mn     64956019.749       4.000
 39   26   65 Fe     64945015.323       5.487
 38   27   65 Co     64936462.071       2.235
 37   28   65 Ni     64930084.585       0.518
 36   29   65 Cu     64927789.476       0.690
 35   30   65 Zn     64929240.534       0.693
 34   31   65 Ga     64932734.424       0.849
 33   32   65 Ge     64939368.136       2.323
 32   33   65 As     64949611.000      91.000
 31   34   65 Se     64964552#        322#
 30   35   65 Br     64982297#        537#
 43   23   66 V      65993237#        537#
 42   24   66 Cr     65973011#        322#
 41   25   66 Mn     65960546.833      12.000
 40   26   66 Fe     65946249.958       4.400
 39   27   66 Co     65939442.943      15.000
 38   28   66 Ni     65929139.333       1.500
 37   29   66 Cu     65928868.804       0.696
 36   30   66 Zn     65926033.639       0.798
 35   31   66 Ga     65931589.766       1.172
 34   32   66 Ge     65933862.124       2.577
 33   33   66 As     65944148.778       6.100
 32   34   66 Se     65955276#        215#
 31   35   66 Br     65974697#        429#
 44   23   67 V      66998128#        644#
 43   24   67 Cr     66979313#        429#
 42   25   67 Mn     66963950#        215#
 41   26   67 Fe     66950930.000       4.100
 40   27   67 Co     66940609.625       6.917
 39   28   67 Ni     66931569.413       3.100
 38   29   67 Cu     66927729.490       0.957
 37   30   67 Zn     66927127.422       0.810
 36   31   67 Ga     66928202.276       1.262
 35   32   67 Ge     66932716.999       4.636
 34   33   67 As     66939251.110       0.475
 33   34   67 Se     66949994.000      72.000
 32   35   67 Br     66965078#        322#
 31   36   67 Kr     66983305#        455#
 44   24   68 Cr     67983156#        537#
 43   25   68 Mn     67968953#        322#
 42   26   68 Fe     67952875#        207#
 41   27   68 Co     67944559.401       4.142
 40   28   68 Ni     67931868.787       3.200
 39   29   68 Cu     67929610.887       1.700
 38   30   68 Zn     67924844.232       0.835
 37   31   68 Ga     67927980.161       1.535
 36   32   68 Ge     67928095.305       2.014
 35   33   68 As     67936774.127       1.981
 34   34   68 Se     67941825.236       0.532
 33   35   68 Br     67958356#        278#
 32   36   68 Kr     67972489#        537#
 45   24   69 Cr     68989662#        537#
 44   25   69 Mn     68972775#        429#
 43   26   69 Fe     68957918#        215#
 42   27   69 Co     68945909.000      92.000
 41   28   69 Ni     68935610.267       4.000
 40   29   69 Cu     68929429.267       1.500
 39   30   69 Zn     68926550.360       0.853
 38   31   69 Ga     68925573.528       1.285
 37   32   69 Ge     68927964.467       1.414
 36   33   69 As     68932246.289      34.352
 35   34   69 Se     68939414.845       1.599
 34   35   69 Br     68950338.410      45.091
 33   36   69 Kr     68965496#        322#
 46   24   70 Cr     69993945#        644#
 45   25   70 Mn     69978046#        537#
 44   26   70 Fe     69960397#        322#
 43   27   70 Co     69950053.400      11.800
 42   28   70 Ni     69936431.300       2.301
 41   29   70 Cu     69932392.078       1.161
 40   30   70 Zn     69925319.175       2.058
 39   31   70 Ga     69926021.914       1.289
 38   32   70 Ge     69924248.542       0.880
 37   33   70 As     69930934.642       1.500
